MFI_ID	BIC	HOST	NAME	BOX	ADDRESS	POSTAL	CITY	CATEGORY	DOMICILE	HEAD_NAME	HEAD_ID	RESERVE	EXEMPT
DE04971	GENODEF1HFA	DE	Raiffeisenbank eG Asbach-Sorga		Alsfelder Straße 37b	36251	Bad Hersfeld	Credit Institution				Yes	No
DE02347	GENODEF1BOY	DE	Raiffeisenbank eG Borken		Bahnhofstraße 65	34582	Borken (Hessen)	Credit Institution				Yes	No
DE02415	GENODE51OF2	DE	Raiffeisenbank eG Offenbach/M.-Bieber	16 01 60	Aschaffenburger Straße 29 - 31	63073	Offenbach am Main	Credit Institution				Yes	No
DE02625	GENODEF1SAN	DE	Raiffeisenbank eG Scharrel	3160	Hauptstraße 266	26683	Saterland	Credit Institution				Yes	No
DE05358	GENODE51ARZ	DE	Raiffeisenbank eG Unterwesterwald		Hauptstr. 12/14	56337	Arzbach, Westerw.	Credit Institution				Yes	No
DE02321	GENODEF1TIE	DE	Raiffeisenbank i. Lkrs. Passau-Nord eG		Nibelungenstraße 14	94113	Tiefenbach, Kr Passau	Credit Institution				Yes	No
DE02123	GENODEF1HZN	DE	Raiffeisenbank i. Südl. Bayerischen Wald eG	32	Marktplatz 4	94051	Hauzenberg	Credit Institution				Yes	No
DE02066	GENODEF1DTY	DE	Raiffeisenbank im Allgäuer Land eG	1160	Hauptstraße 25	87452	Altusried	Credit Institution				Yes	No
DE04869	GENODEF1SLZ	DE	Raiffeisenbank im Grabfeld eG		Raiffeisenstraße 4	97528	Sulzdorf a.d.Lederhecke	Credit Institution				Yes	No
DE03556	GENODES1RCW	DE	Raiffeisenbank im Kreis Calw eG	11 17	Untere Torstr. 5	75387	Neubulach	Credit Institution				Yes	No
DE03752	GENODEF1SWD	DE	Raiffeisenbank im Naabtal eG		Georgenstr. 34	92507	Nabburg	Credit Institution				Yes	No
DE03633	GENODEF1MIB	DE	Raiffeisenbank im Oberland eG	144	Wallenburger Str. 25	83714	Miesbach	Credit Institution				Yes	No
DE03644	GENODEF1WSY	DE	Raiffeisenbank im Stiftland eG	1220	Prinz-Ludwig-Str. 27a	95652	Waldsassen	Credit Institution				Yes	No
DE05383	GENODE51ERB	DE	Raiffeisenkasse Erbes-Büdesheim und Umgebung eG		Hauptstr. 3	55234	Erbes-Büdesheim	Credit Institution				Yes	No
