Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung
2032;60040071;COBADEFFXXX;Commerzbank;Waiblingen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010
2033;60050000;SOLADESTXXX;Landesbank Baden-Württemberg;Stuttgart;eigenes Rechenzentrum;DSGV;;195.145.2.44;2.1;;ja;;;;;;;;;;;;;;;21.10.2004
2034;60050101;SOLADEST600;Baden-Württembergische Bank (BW-Bank);Stuttgart;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-li4.s-fints-pt-li.de/fints30;FinTS V3.0;09.02.2022
2035;60060396;GENODES1UTV;Untertürkheimer Volksbank;Stuttgart;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2036;60062775;GENODES1ECH;Echterdinger Bank;Leinfelden-Echterdingen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2037;60069066;GENODES1RBA;Raiffeisenbank Niedere Alb;Langenau, Württ;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2038;60069075;GENODES1RVG;Raiffeisenbank Bühlertal eG;Vellberg;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2039;60069147;GENODES1RSF;Raiffeisenbank Sondelfingen;Reutlingen;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2040;60069206;GENODES1AID;Raiffeisenbank;Aidlingen, Württ;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2041;60069224;GENODES1GWS;Genossenschaftsbank Weil im Schönbuch;Weil im Schönbuch;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
